Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,GamsGo _ nguyenhoangminh,Search,Google search,100,Daily,Manual CPC,,en,2250;2276;2380;2724;2756;2840;2056;2040;2528;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign,Add,Enabled,GamsGo _ howleybatche,Search,Google search,100,Daily,Manual CPC,,en,2250;2276;2380;2724;2756;2840;2056;2040;2528;2826,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,GamsGo _ howleybatche,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,AG-1,,Enabled,gamsgo,Exact match,0.1736,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,GamsGo _ howleybatche,,,,,,,,,,AG-1,,Enabled,gamsgo,Exact match,0.1736,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,GamsGo Official Site,Shared Streaming Plans,Netflix Disney+ & More,Save On Subscriptions,GamsGo Premium Access,Up To 80% Off Plans,Streaming Made Cheaper,GamsGo Group Sharing,Affordable SaaS Plans,Join Shared Memberships,Premium Apps For Less,GamsGo Trusted Service,Smart Way To Subscribe,Cheap Streaming Bundles,,Discover the smartest way to access premium apps with secure shared GamsGo memberships.,GamsGo connects users worldwide to enjoy top streaming services at unbeatable low prices.,Save big with verified coupons. Updated daily for the best deals.,Get top promo codes and exclusive discounts. Tested and working.,https://www.gamsgo.com/?fbclid=IwY2xjawSPb4tleHRuA2FlbQIxMABicmlkETFmdWZsY2NiRjQ4MHNIaDkzc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHhsquheidaFNdRZZyNoKFIoNd5FB-fK_NK3GZg9lwT-i3EUqb40zVIOYZEm3_aem_lFdbP7GWMH4b7aQ58xV0_A&im_ref=0qHxUQ329xyZTtKX9dyWfVjEUkuWuFzd32hIyA0&sharedid=&irpid=7136593&irgwc=1&afsrc=1,,,,
Ad,Add,,GamsGo _ howleybatche,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,GamsGo Official Site,Shared Streaming Plans,Netflix Disney+ & More,Save On Subscriptions,GamsGo Premium Access,Up To 80% Off Plans,Streaming Made Cheaper,GamsGo Group Sharing,Affordable SaaS Plans,Join Shared Memberships,Premium Apps For Less,GamsGo Trusted Service,Smart Way To Subscribe,Cheap Streaming Bundles,,Discover the smartest way to access premium apps with secure shared GamsGo memberships.,GamsGo connects users worldwide to enjoy top streaming services at unbeatable low prices.,Save big with verified coupons. Updated daily for the best deals.,Get top promo codes and exclusive discounts. Tested and working.,https://www.gamsgo.com/?fbclid=IwY2xjawSPcv5leHRuA2FlbQIxMABicmlkETF5STNNZnlxTlRrV09ZcHYzc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHpeG9lPtV8TJtddPy_uk8XC7FUKvvF0jRdF80JogvZgJ6rBAX9zW0Y4NJc_t_aem_SqlXfw_2Kwxm4f-ozpJjMQ&im_ref=xFHxaT326xyZUdl24qxuRTawUkuWusW9Y30Iww0&sharedid=&irpid=7253816&irgwc=1&afsrc=1,,,,
Sitelink,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://www.gamsgo.com/?fbclid=IwY2xjawSPb4tleHRuA2FlbQIxMABicmlkETFmdWZsY2NiRjQ4MHNIaDkzc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHhsquheidaFNdRZZyNoKFIoNd5FB-fK_NK3GZg9lwT-i3EUqb40zVIOYZEm3_aem_lFdbP7GWMH4b7aQ58xV0_A&im_ref=0qHxUQ329xyZTtKX9dyWfVjEUkuWuFzd32hIyA0&sharedid=&irpid=7136593&irgwc=1&afsrc=1&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://www.gamsgo.com/?fbclid=IwY2xjawSPb4tleHRuA2FlbQIxMABicmlkETFmdWZsY2NiRjQ4MHNIaDkzc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHhsquheidaFNdRZZyNoKFIoNd5FB-fK_NK3GZg9lwT-i3EUqb40zVIOYZEm3_aem_lFdbP7GWMH4b7aQ58xV0_A&im_ref=0qHxUQ329xyZTtKX9dyWfVjEUkuWuFzd32hIyA0&sharedid=&irpid=7136593&irgwc=1&afsrc=1,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://www.gamsgo.com/?fbclid=IwY2xjawSPb4tleHRuA2FlbQIxMABicmlkETFmdWZsY2NiRjQ4MHNIaDkzc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHhsquheidaFNdRZZyNoKFIoNd5FB-fK_NK3GZg9lwT-i3EUqb40zVIOYZEm3_aem_lFdbP7GWMH4b7aQ58xV0_A&im_ref=0qHxUQ329xyZTtKX9dyWfVjEUkuWuFzd32hIyA0&sharedid=&irpid=7136593&irgwc=1&afsrc=1&2,Create new,Campaign,All Blog,
Sitelink,Add,,GamsGo _ howleybatche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://www.gamsgo.com/?fbclid=IwY2xjawSPcv5leHRuA2FlbQIxMABicmlkETF5STNNZnlxTlRrV09ZcHYzc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHpeG9lPtV8TJtddPy_uk8XC7FUKvvF0jRdF80JogvZgJ6rBAX9zW0Y4NJc_t_aem_SqlXfw_2Kwxm4f-ozpJjMQ&im_ref=xFHxaT326xyZUdl24qxuRTawUkuWusW9Y30Iww0&sharedid=&irpid=7253816&irgwc=1&afsrc=1&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,GamsGo _ howleybatche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://www.gamsgo.com/?fbclid=IwY2xjawSPcv5leHRuA2FlbQIxMABicmlkETF5STNNZnlxTlRrV09ZcHYzc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHpeG9lPtV8TJtddPy_uk8XC7FUKvvF0jRdF80JogvZgJ6rBAX9zW0Y4NJc_t_aem_SqlXfw_2Kwxm4f-ozpJjMQ&im_ref=xFHxaT326xyZUdl24qxuRTawUkuWusW9Y30Iww0&sharedid=&irpid=7253816&irgwc=1&afsrc=1,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,GamsGo _ howleybatche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://www.gamsgo.com/?fbclid=IwY2xjawSPcv5leHRuA2FlbQIxMABicmlkETF5STNNZnlxTlRrV09ZcHYzc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHpeG9lPtV8TJtddPy_uk8XC7FUKvvF0jRdF80JogvZgJ6rBAX9zW0Y4NJc_t_aem_SqlXfw_2Kwxm4f-ozpJjMQ&im_ref=xFHxaT326xyZUdl24qxuRTawUkuWusW9Y30Iww0&sharedid=&irpid=7253816&irgwc=1&afsrc=1&2,Create new,Campaign,All Blog,
Callout,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,GamsGo _ nguyenhoangminh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
Callout,Add,,GamsGo _ howleybatche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,GamsGo _ howleybatche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,GamsGo _ howleybatche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,GamsGo _ howleybatche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
