Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,Similarweb,Search,Google search,150654,Daily,Manual CPC,,en,2840;2826;2250;2380;2528,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Similarweb,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Similarweb,,,,,,,,,,AG-1,,Enabled,similarweb,Exact match,2260,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,Similarweb,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,Similarweb Official Store,Similarweb Big Sale Today,Up To 30% Off Today,Free Shipping Available,Shop Similarweb Best Sellers,Code NYMBUS Save More,New Arrivals Weekly,Premium Quality Build,Best Similarweb Deals 2026,Worldwide Fast Shipping,Trusted Online Store,Buy Similarweb Online Now,Member Reward Program,Easy Returns Available,Top Rated Brand,Premium picks at Similarweb. Save up to 30% with free shipping on selected items today.,"Trusted online store with Similarweb best sellers, new arrivals and exclusive promo codes.",Use code NYMBUS for an extra discount. Worldwide shipping with easy online returns.,Member reward program and top rated service. Discover Similarweb essentials made simple.,https://account.similarweb.com/journey/registration?utm_campaign=023b6c8233d2&utm_medium=affiliate&utm_source=partnerstack&ps_partner_key=MDIzYjZjODIzM2Qy&fbclid=IwY2xjawR4zsNleHRuA2FlbQIxMABicmlkETEwQXVNZmo1TnNUUTFGRGVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgSykcy4UfvjVmRel8BhglZLMVUKo7E5lrOMmIt2drmgWLApnN7Y91lNdg9q_aem_F6yYBB9CK_FYVxR6qMtZTQ&ps_xid=vBImmYKJIPu48B&gsxid=vBImmYKJIPu48B&gspk=MDIzYjZjODIzM2Qy,,,,
Sitelink,Add,,Similarweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://account.similarweb.com/journey/registration?utm_campaign=023b6c8233d2&utm_medium=affiliate&utm_source=partnerstack&ps_partner_key=MDIzYjZjODIzM2Qy&fbclid=IwY2xjawR4zsNleHRuA2FlbQIxMABicmlkETEwQXVNZmo1TnNUUTFGRGVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgSykcy4UfvjVmRel8BhglZLMVUKo7E5lrOMmIt2drmgWLApnN7Y91lNdg9q_aem_F6yYBB9CK_FYVxR6qMtZTQ&ps_xid=vBImmYKJIPu48B&gsxid=vBImmYKJIPu48B&gspk=MDIzYjZjODIzM2Qy&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,Similarweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://account.similarweb.com/journey/registration?utm_campaign=023b6c8233d2&utm_medium=affiliate&utm_source=partnerstack&ps_partner_key=MDIzYjZjODIzM2Qy&fbclid=IwY2xjawR4zsNleHRuA2FlbQIxMABicmlkETEwQXVNZmo1TnNUUTFGRGVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgSykcy4UfvjVmRel8BhglZLMVUKo7E5lrOMmIt2drmgWLApnN7Y91lNdg9q_aem_F6yYBB9CK_FYVxR6qMtZTQ&ps_xid=vBImmYKJIPu48B&gsxid=vBImmYKJIPu48B&gspk=MDIzYjZjODIzM2Qy,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,Similarweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://account.similarweb.com/journey/registration?utm_campaign=023b6c8233d2&utm_medium=affiliate&utm_source=partnerstack&ps_partner_key=MDIzYjZjODIzM2Qy&fbclid=IwY2xjawR4zsNleHRuA2FlbQIxMABicmlkETEwQXVNZmo1TnNUUTFGRGVNc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHgSykcy4UfvjVmRel8BhglZLMVUKo7E5lrOMmIt2drmgWLApnN7Y91lNdg9q_aem_F6yYBB9CK_FYVxR6qMtZTQ&ps_xid=vBImmYKJIPu48B&gsxid=vBImmYKJIPu48B&gspk=MDIzYjZjODIzM2Qy&2,Create new,Campaign,All Blog,
Callout,Add,,Similarweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,Similarweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,Similarweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,Similarweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
