Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,lensmartonline,Search,Google search,150654,Daily,Manual CPC,,en,2840;2124;2826;2276;2246;2724;2380;2756;2620,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,lensmartonline,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,lensmartonline,,,,,,,,,,AG-1,,Enabled,lensmartonline,Exact match,1356,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,lensmartonline,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,lensmartonline Official Store,lensmartonline Big Sale Today,Up To 30% Off Today,Free Shipping Available,Code NYMBUS Save More,New Arrivals Weekly,Premium Quality Build,Best lensmartonline Deals 2026,Worldwide Fast Shipping,Trusted Online Store,Buy lensmartonline Online Now,Member Reward Program,Easy Returns Available,Top Rated Brand,Exclusive Online Offers,Premium picks at lensmartonline. Save up to 30% with free shipping on selected items today,"Trusted online store with lensmartonline best sellers, new arrivals and exclusive promo co",Use code NYMBUS for an extra discount. Worldwide shipping with easy online returns.,Member reward program and top rated service. Discover lensmartonline essentials made simpl,https://www.lensmartonline.com/?lenid=panGoaffpro&ref=fyfbhzxc&utm_medium=affiliates&utm_source=Goaffpro,,,,
Sitelink,Add,,lensmartonline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://www.lensmartonline.com/?lenid=panGoaffpro&ref=fyfbhzxc&utm_medium=affiliates&utm_source=Goaffpro&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,lensmartonline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://www.lensmartonline.com/?lenid=panGoaffpro&ref=fyfbhzxc&utm_medium=affiliates&utm_source=Goaffpro,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,lensmartonline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://www.lensmartonline.com/?lenid=panGoaffpro&ref=fyfbhzxc&utm_medium=affiliates&utm_source=Goaffpro&2,Create new,Campaign,All Blog,
Callout,Add,,lensmartonline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,lensmartonline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,lensmartonline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,lensmartonline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
