Row Type	Action	Campaign status	Campaign	Campaign type	Networks	Budget	Bid strategy type	Campaign start date	Location	EU political ads	Ad Group	Keyword	Default max. CPC	Keyword type	Final URL	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Ad type	Callout text	Asset action	Sitelink text	Description
Campaign	Add	Enabled	Seagull 1963	Search	Google search; Search partners	100	Manual CPC		United States; Australia	No																															
Ad Group	Add		Seagull 1963								Ad group 1		0.60																												
Keyword	Add		Seagull 1963								Ad group 1	seagull 1963		Exact																											
Keyword	Add		Seagull 1963								Ad group 1	seagull1963		Exact																											
Keyword	Add		Seagull 1963								Ad group 1	seagull watch		Exact																											
Ad	Add		Seagull 1963								Ad group 1				https://seagull1963.com/product/seagull-1963-38mm-acrylic-sapphire/?ref=smzkukgk	{Keyword:Seagull 1963}	Chinese Pilot Watches	Mechanical Chronograph	Iconic 1963 Reissue	Affordable Luxury Watch	Sapphire & Acrylic	Seagull 1963 Official	Hand-Wind Movement	Vintage Military Style	38mm & 40mm Options	Panda Dial Watches	Collectible Timepieces	Classic Pilot Design	Shop Watches On Sale	Own A Classic Watch	Seagull 1963 mechanical chronograph. Iconic Chinese pilot watch reissue.	Shop Seagull 1963 for affordable luxury watches. Hand-wind, sapphire crystal.	Seagull 1963 official store. Vintage military pilot watches, panda dial.	Own the iconic 1963. Collectible mechanical chronograph watches on sale.			Responsive search ad				
Callout	Add		Seagull 1963																																			Instant Delivery			
Callout	Add		Seagull 1963																																			4.8 Star Rating			
Callout	Add		Seagull 1963																																			HD & Ultra HD Quality			
Callout	Add		Seagull 1963																																			Secure Payment			
Sitelink	Add		Seagull 1963												https://seagull1963.com/product/seagull-1963-38mm-acrylic-sapphire/?ref=smzkukgk#1																	Original 38mm Seagull 1963							Create new	38mm Classic	Classic pilot size
Sitelink	Add		Seagull 1963												https://seagull1963.com/product/seagull-1963-38mm-acrylic-sapphire/?ref=smzkukgk#2																	Larger 40mm chronograph							Create new	40mm Version	Modern pilot style
Sitelink	Add		Seagull 1963												https://seagull1963.com/product/seagull-1963-38mm-acrylic-sapphire/?ref=smzkukgk#3																	Sapphire glass models							Create new	Sapphire Crystal	Scratch resistant
Sitelink	Add		Seagull 1963												https://seagull1963.com/product/seagull-1963-38mm-acrylic-sapphire/?ref=smzkukgk#4																	Watch straps and boxes							Create new	Accessories	Complete your watch
Campaign	Add	Enabled	Letbricks	Search	Google search; Search partners	100	Manual CPC		France; United States; Germany; United Kingdom; Belgium; Canada; Italy; Switzerland; Sweden; New Zealand	No																															
Ad Group	Add		Letbricks								Ad group 1		0.10																												
Keyword	Add		Letbricks								Ad group 1	letbricks		Exact																											
Keyword	Add		Letbricks								Ad group 1	let bricks		Exact																											
Keyword	Add		Letbricks								Ad group 1	letbricks building		Exact																											
Ad	Add		Letbricks								Ad group 1				https://www.letbricks.com/?ref=bknobckw	{Keyword:Letbricks}	Building Block Sets	Alternative Brick Kits	Detailed Model Builds	Affordable Building Sets	Cars Planes & Cities	Letbricks Official Store	Adult Building Kits	Military & Tech Models	High Quality Bricks	Compatible Block Sets	Creative Building Fun	Collectible Model Kits	Shop Building Sets	Build Something Great	Letbricks offers detailed building block sets. Affordable alternative brick kits.	Shop Letbricks for cars, planes, and city model builds. Adult building fun.	Letbricks official store. High quality compatible bricks at great prices.	Build something great with Letbricks. Military, tech, and city block sets.			Responsive search ad				
Callout	Add		Letbricks																																			Instant Delivery			
Callout	Add		Letbricks																																			4.8 Star Rating			
Callout	Add		Letbricks																																			HD & Ultra HD Quality			
Callout	Add		Letbricks																																			Secure Payment			
Sitelink	Add		Letbricks												https://www.letbricks.com/?ref=bknobckw#1																	Vehicle building sets							Create new	Car Models	Detailed car builds
Sitelink	Add		Letbricks												https://www.letbricks.com/?ref=bknobckw#2																	Military model blocks							Create new	Military Sets	Tanks planes and more
