Row Type	Action	Campaign status	Campaign	Campaign type	Networks	Budget	Bid strategy type	Campaign start date	Location	EU political ads	Ad Group	Keyword	Default max. CPC	Keyword type	Final URL	Headline 1	Headline 2	Headline 3	Headline 4	Headline 5	Headline 6	Headline 7	Headline 8	Headline 9	Headline 10	Headline 11	Headline 12	Headline 13	Headline 14	Headline 15	Description 1	Description 2	Description 3	Description 4	Path 1	Path 2	Ad type	Callout text	Asset action	Sitelink text	Description
Campaign	Add	Enabled	Ywigs	Search	Google search; Search partners	86	Manual CPC		United States; United Kingdom; Canada; France; Germany; Australia; Belgium; Italy; Ireland; Sweden	No																															
Ad Group	Add		Ywigs								Ad group 1		0.78																												
Keyword	Add		Ywigs								Ad group 1	ywigs		Exact																											
Keyword	Add		Ywigs								Ad group 1	ywigs hair		Exact																											
Keyword	Add		Ywigs								Ad group 1	ywigs lace wig		Exact																											
Ad	Add		Ywigs								Ad group 1				https://www.ywigs.com/xvdntgij	{Keyword:Ywigs}	Human Hair Lace Wigs	HD Lace Front Wigs	Affordable Quality Wigs	Body Wave & Straight	Pre-Plucked Wigs	Ywigs Official Store	13x4 & 13x6 Lace Wigs	Glueless Wig Options	Natural Hairline Wigs	Colorful Styled Wigs	Free Shipping Available	Bleached Knots Ready	Wigs For Every Style	Shop Ywigs Now	Ywigs offers human hair HD lace front wigs. Pre-plucked, natural hairline wigs.	Shop Ywigs for affordable quality wigs. Body wave, straight, and colored styles.	Ywigs official store. Glueless lace wigs with bleached knots ready to wear.	Free shipping on Ywigs wigs. 13x4 and 13x6 HD lace front options available.			Responsive search ad				
Callout	Add		Ywigs																																			Instant Delivery			
Callout	Add		Ywigs																																			4.8 Star Rating			
Callout	Add		Ywigs																																			HD & Ultra HD Quality			
Callout	Add		Ywigs																																			Secure Payment			
Sitelink	Add		Ywigs												https://www.ywigs.com/xvdntgij#1																	HD lace human hair wigs							Create new	Lace Front Wigs	Natural hairline look
Sitelink	Add		Ywigs												https://www.ywigs.com/xvdntgij#2																	Easy wear no glue needed							Create new	Glueless Wigs	Pre-plucked and ready
Sitelink	Add		Ywigs												https://www.ywigs.com/xvdntgij#3																	Stylish colored options							Create new	Colored Wigs	Express your look
Sitelink	Add		Ywigs												https://www.ywigs.com/xvdntgij#4																	Latest wig styles							Create new	New Arrivals	Fresh drops weekly
